id,pt-br,en-us,es-es,fr-fr,it-it,de-de,ru-ru,tr-tr,uk-ua,ar-sa,ja-jp,ko-kr,hi-in,th-th,vi-vn,id-id,zh-cn,zh-tw,fil-ph,ms-my
son_goku,Son Goku,Son Goku,Son Goku,Son Goku,Son Goku,Son Goku,Сон Гоку,Son Goku,Сон Гоку,سون غوكو,孫悟空,손오공,सोन गोकू,ซน โกคู,Son Goku,Son Goku,孙悟空,孫悟空,Son Goku,Son Goku
21st_martial_tournament,21º Torneio de Artes Marciais,21st Martial Arts Tournament,21º Torneo de Artes Marciales,21ᵉ Tournoi des Arts Martiaux,21º Torneo di Arti Marziali,21. Turnier der Kampfkunst,21-й Турнир боевых искусств,21. Dövüş Sanatları Turnuvası,21-й Турнір бойових мистецтв,البطولة الـ21 لفنون القتال,第21回天下一武道会,제21회 천하제일무도회,21वीं विश्व मार्शल आर्ट्स प्रतियोगिता,ศึกชิงเจ้าศิลปะการต่อสู้ครั้งที่ 21,Giải võ thuật thứ 21,Turnamen Seni Bela Diri ke-21,第21届天下第一武道会,第21屆天下第一武道會,Ika-21 Martial Arts Tournament,Kejohanan Seni Bela Diri ke-21
red_ribbon_army,Exército Patrulha Vermelha,Red Ribbon Army,Ejército Patrulla Roja,Armée du Ruban Rouge,Esercito del Fiocco Rosso,Red Ribbon Armee,Армия Красной Ленты,Kırmızı Kurdele Ordusu,Армія Червоної Стрічки,جيش الشريط الأحمر,レッドリボン軍,레드리본 군대,रेड रिबन सेना,กองทัพเรดริบบอน,Quân đội Ruy Băng Đỏ,Tentara Red Ribbon,红缎带军团,紅緞帶軍團,Hukbong Red Ribbon,Tentera Reben Merah
22nd_martial_tournament,22º Torneio de Artes Marciais,22nd Martial Arts Tournament,22º Torneo de Artes Marciales,22ᵉ Tournoi des Arts Martiaux,22º Torneo di Arti Marziali,22. Turnier der Kampfkunst,22-й Турнир боевых искусств,22. Dövüş Sanatları Turnuvası,22-й Турнір бойових мистецтв,البطولة الـ22 لفنون القتال,第22回天下一武道会,제22회 천하제일무도회,22वीं विश्व मार्शल आर्ट्स प्रतियोगिता,ศึกศิลปะการต่อสู้ครั้งที่ 22,Giải võ thuật thứ 22,Turnamen Seni Bela Diri ke-22,第22届天下第一武道会,第22屆天下第一武道會,Ika-22 Martial Arts Tournament,Kejohanan Seni Bela Diri ke-22
king_piccolo,Rei Piccolo,King Piccolo,Rey Piccolo,Roi Démon Piccolo,Re Piccolo,Dämonenkönig Piccolo,Демон-Король Пикколо,Şeytan Kral Piccolo,Демон-Король Пікколо,الملك بيكولو الشيطاني,魔王ピッコロ,마왕 피콜로,दानव राजा पिक्कोलो,ราชาปิศาจพิคโกโร่,Ma Vương Piccolo,Raja Iblis Piccolo,比克大魔王,比克大魔王,Haring Demonyong Piccolo,Raja Iblis Piccolo
23rd_martial_tournament,23º Torneio de Artes Marciais,23rd Martial Arts Tournament,23º Torneo de Artes Marciales,23ᵉ Tournoi des Arts Martiaux,23º Torneo di Arti Marziali,23. Turnier der Kampfkunst,23-й Турнир боевых искусств,23. Dövüş Sanatları Turnuvası,23-й Турнір бойових мистецтв,البطولة الـ23 لفنون القتال,第23回天下一武道会,제23회 천하제일무도회,23वीं विश्व मार्शल आर्ट्स प्रतियोगिता,ศึกศิลปะการต่อสู้ครั้งที่ 23,Giải võ thuật thứ 23,Turnamen Seni Bela Diri ke-23,第23届天下第一武道会,第23屆天下第一武道會,Ika-23 Martial Arts Tournament,Kejohanan Seni Bela Diri ke-23
saiyan,Saiyajin,Saiyan,Saiyajin,Saga Saiyan,Saga dei Saiyan,Saiyajin-Saga,Сага о Сайянах,Saiyan Destanı,Сага про Сайянів,ملحمة السايان,サイヤ人編,사이어인 편,सैयान गाथा,ภาคไซย่า,Hồi Saiyan,Saga Saiyan,赛亚人篇,賽亞人篇,Kuwento ng Saiyan,Saga Saiyan
frieza,Freeza,Frieza,Freezer,Saga Freezer,Saga di Freezer,Freezer-Saga,Сага о Фризе,Frieza Destanı,Сага про Фрізу,ملحمة فريزا,フリーザ編,프리저 편,फ़्रीज़ा गाथा,ภาคฟรีซเซอร์,Hồi Frieza,Saga Frieza,弗利萨篇,弗利沙篇,Kuwento ni Frieza,Saga Frieza
androids,Andróides,Androids,Androides,Saga des Androïdes,Saga degli Androidi,Androiden-Saga,Сага об Андроидах,Android Destanı,Сага про Андроїдів,ملحمة الآليين,人造人間編,인조인간 편,एंड्रॉइड गाथा,ภาคแอนดรอยด์,Hồi Android,Saga Android,人造人篇,人造人篇,Kuwento ng Android,Saga Android
cell,Cell,Cell,Cell,Saga Cell,Saga di Cell,Cell-Saga,Сага о Селле,Cell Destanı,Сага про Селла,ملحمة سيل,セル編,셀 편,सेल गाथा,ภาคเซลล์,Hồi Cell,Saga Cell,沙鲁篇,沙魯篇,Kuwento ni Cell,Saga Cell
majin_buu,Majin Buu,Majin Buu,Majin Buu,Saga Boo,Saga di Majin Bu,Boo-Saga,Сага о Маджине Бу,Buu Destanı,Сага про Маджина Бу,ملحمة ماجين بوو,魔人ブウ編,마인 부 편,माजिन बू गाथा,ภาคมาจินบู,Hồi Majin Buu,Saga Majin Buu,魔人布欧篇,魔人布歐篇,Kuwento ni Majin Buu,Saga Majin Buu
daima,Daima,Daima,Daima,Dragon Ball Daima,Dragon Ball Daima,Dragon Ball Daima,Драгон Болл Дайма,Dragon Ball Daima,Драґон Болл Дайма,دراغون بول دايما,ドラゴンボールDAIMA,드래곤볼 다이마,ड्रैगन बॉल दैमा,ดราก้อนบอล ไดมะ,Bảy Viên Ngọc Rồng Daima,Dragon Ball Daima,龙珠Daima,七龍珠Daima,Dragon Ball Daima,Dragon Ball Daima
battle_of_gods,Batalha dos Deuses,Battle of Gods,Batalla de los Dioses,Bataille des Dieux,Battaglia degli Dei,Kampf der Götter,Битва богов,Tanrıların Savaşı,Битва богів,معركة الآلهة,神と神,신과 신,देवताओं की लड़ाई,ศึกแห่งเทพเจ้า,Trận Chiến của Các Thần,Pertempuran Dewa,神与神,神與神,Laban ng mga Diyos,Pertempuran Dewa
resurrection_f,Renascimento de Freeza,Resurrection 'F',Resurrección de Freezer,Résurrection de F,La Resurrezione di F,Die Auferstehung von F,Воскрешение Ф,F’nin Dirilişi,Воскресіння Ф,إحياء ف,復活の「F」,부활의 F,एफ की पुनर्जीवन,"การฟื้นคืนของ ""เอฟ""",Sự hồi sinh của F,Kebangkitan F,复活的F,復活的F,Muling Pagkabuhay ni F,Kebangkitan F
universe_6,Universo 6,Universe 6,Universo 6,Tournoi de l’Univers 6,Torneo Universo 6,Turnier Universum 6,Турнир Вселенной 6,Evren 6 Turnuvası,Турнір Всесвіту 6,بطولة الكون 6,第6宇宙編,제6우주 편,यूनिवर्स 6 गाथा,ภาคจักรวาล 6,Giải Đấu Vũ Trụ 6,Saga Alam Semesta 6,第6宇宙篇,第6宇宙篇,Kuwento ng Universe 6,Saga Alam Semesta 6
future_trunks,Trunks do Futuro,Future Trunks,Trunks del Futuro,Trunks du Futur,Trunks del Futuro,Zukunfts-Trunks,Транкс из будущего,Gelecek Trunks,Транкс із майбутнього,ترانكس المستقبلي,未来トランクス編,미래 트랭크스 편,भविष्य ट्रंक्स गाथा,ภาคทรังก์แห่งอนาคต,Hồi Tương Lai Trunks,Trunks Masa Depan,未来特兰克斯篇,未來特南克斯篇,Kuwento ni Future Trunks,Trunks Masa Depan
tournament_of_power,Torneio do Poder,Tournament of Power,Torneo del Poder,Tournoi du Pouvoir,Torneo del Potere,Turnier der Kraft,Турнир Силы,Güç Turnuvası,Турнір Сили,بطولة القوة,力の大会,힘의 대회,शक्ति टूर्नामेंट,ศึกชิงความเป็นหนึ่ง,Giải Đấu Sức Mạnh,Turnamen Kekuatan,力之大会,力之大會,Paligsahan ng Lakas,Pertandingan Kekuatan
moro,Moro,Moro,Moro,Saga Moro,Saga Moro,Moro-Saga,Сага о Моро,Moro Destanı,Сага про Моро,ملحمة مورو,モロ編,모로 편,मोरो गाथा,ภาคมอโร,Hồi Moro,Saga Moro,莫洛篇,莫洛篇,Kuwento ni Moro,Saga Moro
granolah,Granolah,Granolah,Granolah,Saga Granolah,Saga Granolah,Granolah-Saga,Сага о Граноле,Granolah Destanı,Сага про Гранолу,ملحمة غرانولا,グラノラ編,그라놀라 편,ग्रैनोला गाथा,ภาคกราโนลาห์,Hồi Granolah,Saga Granolah,格兰诺拉篇,葛蘭諾拉篇,Kuwento ni Granolah,Saga Granolah
black_star_dragon_balls,Esferas do Dragão Negras,Black Star Dragon Ball,Esferas del Dragón Negras,Dragon Balls à Étoiles Noires,Sfere del Drago dalle Stelle Nere,Schwarze Stern-Dragonballs,Чёрные звёздные шары дракона,Kara Yıldızlı Ejder Topları,Чорні зоряні кулі дракона,كرات التنين ذات النجوم السوداء,ブラックスター・ドラゴンボール編,블랙스타 드래곤볼 편,काले सितारे ड्रैगन बॉल्स,ลูกแก้วมังกรดาวดำ,Ngọc Rồng Sao Đen,Bola Naga Bintang Hitam,黑星龙珠篇,黑星龍珠篇,Itim na Dragon Balls,Bola Naga Hitam
baby,Baby,Baby,Baby,Saga Baby,Saga Baby,Baby-Saga,Сага о Бейби,Baby Destanı,Сага про Бейбі,ملحمة بيبي,ベビー編,베이비 편,बेबी गाथा,ภาคเบบี้,Hồi Baby,Saga Baby,贝比篇,貝比篇,Kuwento ni Baby,Saga Baby
super_17,Super 17,Super 17,Súper 17,Saga Super 17,Saga Super 17,Super 17-Saga,Сага о Супер-17,Süper 17 Destanı,Сага про Супер-17,ملحمة سوبر 17,超17号編,슈퍼17편,सुपर 17 गाथा,ภาคซูเปอร์ 17,Hồi Siêu 17,Saga Super 17,超17号篇,超17號篇,Kuwento ni Super 17,Saga Super 17
shadow_dragon,Dragões Malignos,Shadow Dragon,Dragones Malignos,Saga des Dragons Obscurs,Saga dei Draghi Oscuri,Schatten-Drachen-Saga,Сага о Тёмных Драконах,Gölge Ejderhalar Destanı,Сага про Тіньових Драконів,ملحمة التنانين المظلمة,邪悪龍編,사악룡 편,अंधकारमय ड्रैगन गाथा,ภาคมังกรเงา,Hồi Rồng Bóng Tối,Saga Shadow Dragon,邪恶龙篇,邪惡龍篇,Kuwento ng Shadow Dragon,Saga Naga Bayangan
movie,Filme,Movie,Película,Film,Film,Film,Фильм,Film,Фільм,فيلم,映画,영화,फ़िल्म,ภาพยนตร์,Phim,Film,电影,電影,Pelikula,Filem
none,Nenhum,None,Ninguno,Aucun,Nessuno,Keine,Нет,Yok,Немає,لا شيء,なし,없음,कोई नहीं,ไม่มี,Không có,Tidak ada,无,無,Wala,Tiada
